date,label,trend_up,drawdown,vix10,hy_oas,stress,sahm_gap,recession,stress_basis
1998-01-02,BOOM,1,0.0089,27.29,3.02,1,-0.07,0,vix+credit
1998-01-09,STALL,1,0.0570,25.77,3.16,1,-0.07,0,vix+credit
1998-01-16,BOOM,1,0.0226,25.18,3.01,1,-0.07,0,vix+credit
1998-01-23,BOOM,1,0.0266,24.14,2.90,1,-0.07,0,vix+credit
1998-01-30,BOOM,1,0.0053,22.37,2.98,1,-0.07,0,vix+credit
1998-02-06,BOOM,1,0.0000,21.58,2.93,1,-0.07,0,vix+credit
1998-02-13,BOOM,1,0.0040,20.65,2.97,1,-0.03,0,vix+credit
1998-02-20,BOOM,1,0.0000,20.20,2.91,1,-0.03,0,vix+credit
1998-02-27,BOOM,1,0.0000,19.33,2.88,0,-0.03,0,vix+credit
1998-03-06,BOOM,1,0.0000,19.20,2.85,0,-0.03,0,vix+credit
1998-03-13,BOOM,1,0.0012,19.34,2.91,0,0.00,0,vix+credit
1998-03-20,BOOM,1,0.0000,18.74,2.84,0,0.00,0,vix+credit
1998-03-27,BOOM,1,0.0092,20.12,2.73,1,0.00,0,vix+credit
1998-04-03,BOOM,1,0.0000,22.54,2.94,1,0.00,0,vix+credit
1998-04-09,BOOM,1,0.0107,23.03,2.86,1,0.00,0,vix+credit
1998-04-17,BOOM,1,0.0000,22.07,2.85,1,0.00,0,vix+credit
1998-04-24,BOOM,1,0.0200,21.04,2.81,1,0.00,0,vix+credit
1998-05-01,BOOM,1,0.0084,21.59,2.98,1,0.00,0,vix+credit
1998-05-08,BOOM,1,0.0198,22.21,2.95,1,0.00,0,vix+credit
1998-05-15,BOOM,1,0.0193,21.11,2.97,1,-0.10,0,vix+credit
1998-05-22,BOOM,1,0.0178,20.29,3.01,1,-0.10,0,vix+credit
1998-05-29,BOOM,1,0.0351,20.75,3.05,1,-0.10,0,vix+credit
1998-06-05,BOOM,1,0.0148,21.44,3.16,1,-0.10,0,vix+credit
1998-06-12,BOOM,1,0.0280,21.76,3.26,1,-0.07,0,vix+credit
1998-06-19,BOOM,1,0.0264,22.69,3.28,1,-0.07,0,vix+credit
1998-06-26,BOOM,1,0.0000,21.97,3.28,1,-0.07,0,vix+credit
1998-07-02,BOOM,1,0.0019,19.86,3.41,0,-0.07,0,vix+credit
1998-07-10,BOOM,1,0.0018,18.55,3.38,0,-0.07,0,vix+credit
1998-07-17,BOOM,1,0.0000,17.84,3.29,0,-0.07,0,vix+credit
1998-07-24,BOOM,1,0.0387,19.10,3.30,0,-0.07,0,vix+credit
1998-07-31,STALL,1,0.0557,22.44,3.38,1,-0.07,0,vix+credit
1998-08-07,STALL,1,0.0820,26.27,3.55,1,-0.07,0,vix+credit
1998-08-14,DECLINE,1,0.1045,29.56,3.78,1,0.07,0,vix+credit
1998-08-21,STALL,1,0.0889,30.56,4.09,2,0.07,0,vix+credit
1998-08-28,DECLINE,0,0.1345,32.35,4.87,2,0.07,0,vix+credit
1998-09-04,DECLINE,0,0.1794,37.37,5.36,2,0.07,0,vix+credit
1998-09-11,CRISIS,0,0.1497,40.85,5.70,3,0.10,0,vix+credit
1998-09-18,DECLINE,0,0.1404,39.89,5.79,2,0.10,0,vix+credit
1998-09-25,DECLINE,0,0.1197,36.58,5.76,2,0.10,0,vix+credit
1998-10-02,DECLINE,0,0.1552,37.27,6.11,2,0.10,0,vix+credit
